section,key,value,material,density_kgm3,mu_slide,mu_spin,mu_roll,restitution,block_type,size_x_m,size_y_m,size_z_m,material_of_type,color_rgba,order,label,posX_m,posY_m,posZ_m,rotX_deg,rotY_deg,rotZ_deg
meta,camera_distance,1.2,,,,,,,,,,,,,,,,,,,,
meta,placement_mode,dynamic,,,,,,,,,,,,,,,,,,,,
meta,drop_distance_mm,2.0,,,,,,,,,,,,,,,,,,,,
materials,,,GROUND,0.000000,0.600000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,
materials,,,WOOD,700.000000,0.600000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,
block_types,,,,,,,,,BaseIncline,0.500000,0.500000,0.020000,GROUND,,,,,,,,,
block_types,,,,,,,,,Slender,0.020000,0.020000,0.100000,WOOD,,,,,,,,,
assembly,,,,,,,,,BaseIncline,,,,,,1,Base_incline_2deg,0.000000,0.000000,0.010000,0.000000,2.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,2,Level_1,0.000000,0.000000,0.070000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,3,Level_2,0.000000,0.000000,0.170000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,4,Level_3,0.000000,0.000000,0.270000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,5,Level_4,0.000000,0.000000,0.370000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,6,Level_5,0.000000,0.000000,0.470000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,7,Level_6,0.000000,0.000000,0.570000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,8,Level_7,0.000000,0.000000,0.670000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,9,Level_8,0.000000,0.000000,0.770000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,10,Level_9,0.000000,0.000000,0.870000,0.000000,0.000000,0.000000
assembly,,,,,,,,,Slender,,,,,,11,Level_10,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000
