name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
A_L1_S_1,1,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.114,0.0095,0.0,0.0,0
A_L1_S_4,2,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,-0.114,0.0095,0.0,0.0,0
A_L1_CornerS_0,3,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.114,0.0095,0.0,0.0,0
A_L1_CornerS_6,4,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,-0.114,0.0095,0.0,0.0,0
A_L1_N_0,5,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.095,0.114,0.0095,0.0,0.0,0
A_L1_N_3,6,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.114,0.0095,0.0,0.0,0
A_L1_CornerN_6,7,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,0.114,0.0095,0.0,0.0,0
A_L2_W_1,8,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.095,-0.076,0.0285,0.0,0.0,90
A_L2_W_4,9,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.095,0.038,0.0285,0.0,0.0,90
A_L2_E_0,10,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.133,-0.114,0.0285,0.0,0.0,90
A_L2_E_3,11,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.133,0.0,0.0285,0.0,0.0,90
A_L3_Rung_2_1,12,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.038,0.0475,0.0,0.0,0
A_L3_Rung_4_2,13,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.038,0.0475,0.0,0.0,0
A_L4_S_0,14,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.095,-0.114,0.0665,0.0,0.0,0
A_L4_S_3,15,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.114,0.0665,0.0,0.0,0
A_L4_CornerS_6,16,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,-0.114,0.0665,0.0,0.0,0
A_L4_N_1,17,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,0.114,0.0665,0.0,0.0,0
