name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
B_L1_1x1_0_0,1,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.114,0.0095,0.0,0.0,0
B_L1_1x1_0_2,2,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.038,0.0095,0.0,0.0,0
B_L1_1x1_0_4,3,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,0.038,0.0095,0.0,0.0,0
B_L1_1x1_0_6,4,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,0.114,0.0095,0.0,0.0,0
B_L1_1x1_1_1,5,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,-0.076,0.0095,0.0,0.0,0
B_L1_1x1_1_3,6,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.0095,0.0,0.0,0
B_L1_1x1_1_5,7,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.076,0.0095,0.0,0.0,0
B_L1_1x1_2_0,8,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,-0.114,0.0095,0.0,0.0,0
B_L1_1x1_2_2,9,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,-0.038,0.0095,0.0,0.0,0
B_L1_1x1_2_4,10,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,0.038,0.0095,0.0,0.0,0
B_L1_1x1_2_6,11,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,0.114,0.0095,0.0,0.0,0
B_L1_1x1_3_1,12,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.0095,0.0,0.0,0
B_L1_1x1_3_3,13,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.0,0.0095,0.0,0.0,0
B_L1_1x1_3_5,14,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.0095,0.0,0.0,0
B_L1_1x1_4_0,15,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,-0.114,0.0095,0.0,0.0,0
B_L1_1x1_4_2,16,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,-0.038,0.0095,0.0,0.0,0
B_L1_1x1_4_4,17,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,0.038,0.0095,0.0,0.0,0
B_L1_1x1_4_6,18,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,0.114,0.0095,0.0,0.0,0
B_L1_1x1_5_1,19,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,-0.076,0.0095,0.0,0.0,0
B_L1_1x1_5_3,20,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.0095,0.0,0.0,0
B_L1_1x1_5_5,21,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.076,0.0095,0.0,0.0,0
B_L1_1x1_6_0,22,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,-0.114,0.0095,0.0,0.0,0
B_L1_1x1_6_2,23,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,-0.038,0.0095,0.0,0.0,0
B_L1_1x1_6_4,24,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,0.038,0.0095,0.0,0.0,0
B_L1_1x1_6_6,25,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,0.114,0.0095,0.0,0.0,0
B_L2_1x1_0_1,26,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.076,0.0285,0.0,0.0,0
B_L2_1x1_0_3,27,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,0.0,0.0285,0.0,0.0,0
B_L2_1x1_0_5,28,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,0.076,0.0285,0.0,0.0,0
B_L2_1x1_1_0,29,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,-0.114,0.0285,0.0,0.0,0
B_L2_1x1_1_2,30,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,-0.038,0.0285,0.0,0.0,0
B_L2_1x1_1_4,31,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.038,0.0285,0.0,0.0,0
B_L2_1x1_1_6,32,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.114,0.0285,0.0,0.0,0
B_L2_1x1_2_1,33,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,-0.076,0.0285,0.0,0.0,0
B_L2_1x1_2_3,34,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,0.0,0.0285,0.0,0.0,0
B_L2_1x1_2_5,35,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.038,0.076,0.0285,0.0,0.0,0
B_L2_1x1_3_0,36,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.114,0.0285,0.0,0.0,0
B_L2_1x1_3_2,37,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.038,0.0285,0.0,0.0,0
B_L2_1x1_3_4,38,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.038,0.0285,0.0,0.0,0
B_L2_1x1_3_6,39,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.114,0.0285,0.0,0.0,0
B_L2_1x1_4_1,40,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,-0.076,0.0285,0.0,0.0,0
B_L2_1x1_4_3,41,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,0.0,0.0285,0.0,0.0,0
B_L2_1x1_4_5,42,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.038,0.076,0.0285,0.0,0.0,0
B_L2_1x1_5_0,43,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,-0.114,0.0285,0.0,0.0,0
B_L2_1x1_5_2,44,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,-0.038,0.0285,0.0,0.0,0
B_L2_1x1_5_4,45,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.038,0.0285,0.0,0.0,0
B_L2_1x1_5_6,46,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.114,0.0285,0.0,0.0,0
B_L2_1x1_6_1,47,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,-0.076,0.0285,0.0,0.0,0
B_L2_1x1_6_3,48,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,0.0,0.0285,0.0,0.0,0
B_L2_1x1_6_5,49,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.114,0.076,0.0285,0.0,0.0,0
B_L3_1x1_0_0,50,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.114,0.0475,0.0,0.0,0
B_L3_1x1_0_2,51,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.114,-0.038,0.0475,0.0,0.0,0
