name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
C_L1_Louver_0_1_6,1,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.0095,0.0,0.0,0
C_L1_Louver_1_3_1,2,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.0095,0.0,0.0,0
C_L2_Louver_0_3_6,3,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.114,0.0285,0.0,0.0,0
C_L2_Louver_1_3_0,4,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.0285,0.0,0.0,0
C_L3_Louver_0_3_5,5,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.076,0.0475,0.0,0.0,0
C_L3_Louver_1_1_1,6,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.0475,0.0,0.0,0
C_L3_Tie_1_2,7,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.0475,0.0,0.0,90
C_L4_Louver_0_6_3,8,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.171,0.0,0.0665,0.0,0.0,90
C_L4_Louver_1_0_3,9,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.057,0.0,0.0665,0.0,0.0,90
C_L5_Louver_0_3_1,10,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.0855,0.0,0.0,0
C_L5_Louver_1_1_6,11,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.0855,0.0,0.0,0
C_L6_Louver_0_3_0,12,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.1045,0.0,0.0,0
C_L6_Louver_1_3_6,13,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.114,0.1045,0.0,0.0,0
C_L6_Tie_1_2,14,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.1045,0.0,0.0,90
C_L7_Louver_0_1_1,15,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.1235,0.0,0.0,0
C_L7_Louver_1_3_5,16,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.076,0.1235,0.0,0.0,0
C_L8_Louver_0_0_3,17,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.057,0.0,0.1425,0.0,0.0,90
C_L8_Louver_1_6_3,18,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.171,0.0,0.1425,0.0,0.0,90
C_L9_Louver_0_1_6,19,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.1615,0.0,0.0,0
C_L9_Louver_1_3_1,20,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.1615,0.0,0.0,0
C_L9_Tie_1_2,21,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.1615,0.0,0.0,90
C_L10_Louver_0_3_6,22,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.114,0.1805,0.0,0.0,0
C_L10_Louver_1_3_0,23,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.1805,0.0,0.0,0
C_L11_Louver_0_3_5,24,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.076,0.1995,0.0,0.0,0
C_L11_Louver_1_1_1,25,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.1995,0.0,0.0,0
C_L12_Louver_0_6_3,26,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.171,0.0,0.2185,0.0,0.0,90
C_L12_Louver_1_0_3,27,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.057,0.0,0.2185,0.0,0.0,90
C_L12_Tie_1_2,28,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.2185,0.0,0.0,90
C_L13_Louver_0_3_1,29,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.2375,0.0,0.0,0
C_L13_Louver_1_1_6,30,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.2375,0.0,0.0,0
C_L14_Louver_0_3_0,31,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.2565,0.0,0.0,0
C_L14_Louver_1_3_6,32,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.114,0.2565,0.0,0.0,0
C_L15_Louver_0_1_1,33,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.2755,0.0,0.0,0
