name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
D_L1_Core2x2,1,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.0095,0.0,0.0,0
D_L1_Core1x1_3_1,2,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.0095,0.0,0.0,0
D_L1_Core1x1_3_5,3,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.0095,0.0,0.0,0
D_L1_Core1x1_1_3,4,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.0095,0.0,0.0,0
D_L1_Core1x1_5_3,5,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.0095,0.0,0.0,0
D_L2_DiaH_1_1,6,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.0285,0.0,0.0,0
D_L2_DiaH_2_3,7,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.0285,0.0,0.0,0
D_L3_Tie_3_2_90,8,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.0475,0.0,0.0,90
D_L3_Tie_3_4_90,9,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.0475,0.0,0.0,90
D_L3_Tie_2_3_0,10,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.0475,0.0,0.0,0
D_L3_Tie_4_3_0,11,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.0475,0.0,0.0,0
D_L4_DiaV_4_1,12,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.0665,0.0,0.0,90
D_L4_DiaV_5_3,13,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.0665,0.0,0.0,90
D_L5_Core2x2,14,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.0855,0.0,0.0,0
D_L5_Core1x1_3_1,15,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.0855,0.0,0.0,0
D_L5_Core1x1_3_5,16,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.0855,0.0,0.0,0
D_L5_Core1x1_1_3,17,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.0855,0.0,0.0,0
D_L5_Core1x1_5_3,18,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.0855,0.0,0.0,0
D_L6_DiaH_1_1,19,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.1045,0.0,0.0,0
D_L6_DiaH_2_3,20,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.1045,0.0,0.0,0
D_L7_Tie_3_2_90,21,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.1235,0.0,0.0,90
D_L7_Tie_3_4_90,22,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.1235,0.0,0.0,90
D_L7_Tie_2_3_0,23,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.1235,0.0,0.0,0
D_L7_Tie_4_3_0,24,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.1235,0.0,0.0,0
D_L8_DiaV_4_1,25,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.1425,0.0,0.0,90
D_L8_DiaV_5_3,26,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.1425,0.0,0.0,90
D_L9_Core2x2,27,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.1615,0.0,0.0,0
D_L9_Core1x1_3_1,28,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.1615,0.0,0.0,0
D_L9_Core1x1_3_5,29,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.1615,0.0,0.0,0
D_L9_Core1x1_1_3,30,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.1615,0.0,0.0,0
D_L9_Core1x1_5_3,31,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.1615,0.0,0.0,0
D_L10_DiaH_1_1,32,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.1805,0.0,0.0,0
D_L10_DiaH_2_3,33,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.1805,0.0,0.0,0
D_L11_Tie_3_2_90,34,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.1995,0.0,0.0,90
D_L11_Tie_3_4_90,35,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.1995,0.0,0.0,90
D_L11_Tie_2_3_0,36,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.1995,0.0,0.0,0
D_L11_Tie_4_3_0,37,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.1995,0.0,0.0,0
D_L12_DiaV_4_1,38,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.2185,0.0,0.0,90
D_L12_DiaV_5_3,39,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.2185,0.0,0.0,90
D_L13_Core2x2,40,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.2375,0.0,0.0,0
D_L13_Core1x1_3_1,41,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.2375,0.0,0.0,0
D_L13_Core1x1_3_5,42,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.2375,0.0,0.0,0
D_L13_Core1x1_1_3,43,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.2375,0.0,0.0,0
D_L13_Core1x1_5_3,44,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.2375,0.0,0.0,0
D_L14_DiaH_1_1,45,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.2565,0.0,0.0,0
D_L14_DiaH_2_3,46,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.2565,0.0,0.0,0
D_L15_Tie_3_2_90,47,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.2755,0.0,0.0,90
D_L15_Tie_3_4_90,48,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.2755,0.0,0.0,90
D_L15_Tie_2_3_0,49,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.2755,0.0,0.0,0
D_L15_Tie_4_3_0,50,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.2755,0.0,0.0,0
D_L16_DiaV_4_1,51,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.2945,0.0,0.0,90
D_L16_DiaV_5_3,52,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.2945,0.0,0.0,90
D_L17_Core2x2,53,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.3135,0.0,0.0,0
D_L17_Core1x1_3_1,54,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.3135,0.0,0.0,0
D_L17_Core1x1_3_5,55,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.3135,0.0,0.0,0
D_L17_Core1x1_1_3,56,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.3135,0.0,0.0,0
D_L17_Core1x1_5_3,57,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.3135,0.0,0.0,0
D_L18_DiaH_1_1,58,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.3325,0.0,0.0,0
D_L18_DiaH_2_3,59,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.3325,0.0,0.0,0
D_L19_Tie_3_2_90,60,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.3515,0.0,0.0,90
