section,key,value,material,density_kgm3,mu_slide,mu_spin,mu_roll,restitution,block_type,size_x_m,size_y_m,size_z_m,material_of_type,shape,wedge_run_x_m,wedge_width_y_m,wedge_rise_z_m,color_rgba,order,label,posX_m,posY_m,posZ_m,rotX_deg,rotY_deg,rotZ_deg
meta,camera_distance,1.2,,,,,,,,,,,,,,,,,,,,,,,,
meta,placement_mode,dynamic,,,,,,,,,,,,,,,,,,,,,,,,
meta,drop_distance_mm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
materials,,,WOOD,700,0.60,0,0,0,,,,,,,,,,,,,,,,,,
block_types,,,,,,,,,Tile40,0.040,0.040,0.020,WOOD,,,,,,,,,,,,,
assembly,,,,,,,,,Tile40,,,,,,,,,,1,L1_dx=0.0000m,0.0000,0.0000,0.0100,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,2,L2_dx=0.0025m,0.0025,0.0000,0.0300,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,3,L3_dx=0.0050m,0.0050,0.0000,0.0500,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,4,L4_dx=0.0075m,0.0075,0.0000,0.0700,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,5,L5_dx=0.0100m,0.0100,0.0000,0.0900,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,6,L6_dx=0.0125m,0.0125,0.0000,0.1100,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,7,L7_dx=0.0150m,0.0150,0.0000,0.1300,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,8,L8_dx=0.0175m,0.0175,0.0000,0.1500,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,9,L9_dx=0.0200m,0.0200,0.0000,0.1700,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,10,L10_dx=0.0225m,0.0225,0.0000,0.1900,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,11,L11_dx=0.0250m,0.0250,0.0000,0.2100,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,12,L12_dx=0.0275m,0.0275,0.0000,0.2300,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,13,L13_dx=0.0300m,0.0300,0.0000,0.2500,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,14,L14_dx=0.0325m,0.0325,0.0000,0.2700,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,15,L15_dx=0.0350m,0.0350,0.0000,0.2900,0,0,0
assembly,,,,,,,,,Tile40,,,,,,,,,,16,L16_dx=0.0375m,0.0375,0.0000,0.3100,0,0,0
