section,key,value,material,density_kgm3,mu_slide,mu_spin,mu_roll,restitution,block_type,size_x_m,size_y_m,size_z_m,material_of_type,color_rgba,order,label,posX_m,posY_m,posZ_m,rotX_deg,rotY_deg,rotZ_deg
meta,camera_distance,1.0,,,,,,,,,,,,,,,,,,,,
meta,placement_mode,gentle,,,,,,,,,,,,,,,,,,,,
meta,servo_clearance_mm,0.3,,,,,,,,,,,,,,,,,,,,
materials,,,WOOD_CLEAN,700.000000,0.600000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,
block_types,,,,,,,,,Std,0.040,0.040,0.020,WOOD_CLEAN,,,,,,,,,
assembly,,,,,,,,,Std,,,,,,1,L01_dx=-0.0001m,-0.0042,0.0033,0.0100,0,0,0
assembly,,,,,,,,,Std,,,,,,2,L02_dx=+0.0004m,0.0032,-0.0039,0.0300,0,0,0
assembly,,,,,,,,,Std,,,,,,3,L03_dx=-0.0001m,-0.0033,0.0063,0.0500,0,0,0
assembly,,,,,,,,,Std,,,,,,4,L04_dx=+0.0005m,0.0059,-0.0065,0.0700,0,0,0
assembly,,,,,,,,,Std,,,,,,5,L05_dx=-0.0005m,-0.0077,0.0063,0.0900,0,0,0
assembly,,,,,,,,,Std,,,,,,6,L06_dx=+0.0005m,0.0035,-0.0028,0.1100,0,0,0
assembly,,,,,,,,,Std,,,,,,7,L07_dx=-0.0006m,-0.0026,0.0066,0.1300,0,0,0
assembly,,,,,,,,,Std,,,,,,8,L08_dx=+0.0010m,0.0050,0.0060,0.1500,0,0,0
assembly,,,,,,,,,Std,,,,,,9,L09_dx=+0.0008m,0.0038,-0.0033,0.1700,0,0,0
assembly,,,,,,,,,Std,,,,,,10,L10_dx=-0.0008m,-0.0038,-0.0045,0.1900,0,0,0
assembly,,,,,,,,,Std,,,,,,11,L11_dx=-0.0010m,-0.0010,0.0086,0.2100,0,0,0
assembly,,,,,,,,,Std,,,,,,12,L12_dx=-0.0012m,-0.0012,0.0078,0.2300,0,0,0
assembly,,,,,,,,,Std,,,,,,13,L13_dx=+0.0008m,0.0008,0.0086,0.2500,0,0,0
assembly,,,,,,,,,Std,,,,,,14,L14_dx=-0.0010m,-0.0010,0.0089,0.2700,0,0,0
assembly,,,,,,,,,Std,,,,,,15,L15_dx=+0.0004m,0.0004,0.0074,0.2900,0,0,0
assembly,,,,,,,,,Std,,,,,,16,L16_dx=+0.0010m,0.0010,0.0096,0.3100,0,0,0
assembly,,,,,,,,,Std,,,,,,17,L17_dx=+0.0006m,0.0036,0.0033,0.3300,0,0,0
assembly,,,,,,,,,Std,,,,,,18,L18_dx=-0.0002m,-0.0002,0.0085,0.3500,0,0,0
assembly,,,,,,,,,Std,,,,,,19,L19_dx=-0.0002m,-0.0002,0.0076,0.3700,0,0,0
assembly,,,,,,,,,Std,,,,,,20,L20_dx=+0.0008m,0.0008,0.0087,0.3900,0,0,0
assembly,,,,,,,,,Std,,,,,,21,L21_dx=+0.0006m,0.0006,0.0009,0.4100,0,0,0
assembly,,,,,,,,,Std,,,,,,22,L22_dx=-0.0010m,-0.0010,0.0004,0.4300,0,0,0
assembly,,,,,,,,,Std,,,,,,23,L23_dx=+0.0006m,0.0006,0.0003,0.4500,0,0,0
assembly,,,,,,,,,Std,,,,,,24,L24_dx=-0.0010m,-0.0010,0.0008,0.4700,0,0,0
assembly,,,,,,,,,Std,,,,,,25,L25_dx=+0.0012m,0.0012,0.0004,0.4900,0,0,0
